,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
S23,1.7450698792140518,0.3608235302197102,-0.5212355022728319,-0.43398022166007844,-2.134557853826918,0.9621291338942833,-0.04081020966176988,3.658339133907733,1.2255046194916157,1.1938528036823748,-3.7751425358075146,-2.1290888180846435,0.5202506163423266,0.2340227774354138,-0.1596727760629836
S24,-1.3570360661248386,-2.541285762866675,-2.1653683038494873,3.1102213557221323,-0.7899698173477115,0.8201735943955613,1.3676513561731338,0.784019496535987,1.134114327084222,-0.14585326777361393,1.711398295683629,-1.0699088736325058,1.27257590249434,0.7784255272637168,-1.6292431591975867
S25,-0.7491974595629678,2.5179111364057922,-1.9043593961129894,0.6818658439581315,1.8916061112018538,-1.783364151461967,-0.523307967169928,-1.6799534697211207,-1.503355972409465,1.0523970616948641,1.0901608075527225,-1.9525015943182966,-0.573781247212683,0.6364296288344834,-2.021869491810026
S26,-0.8035429537348732,-0.8901276980937574,-0.809536343137084,0.4959349809419547,-0.6054796967232638,1.7412021351281,1.0369373980081467,-1.0052205368828333,2.1974763509467157,-2.3620612204352107,-2.2396443492652978,0.6641593553274666,-3.0935408238792896,0.6476557224286706,0.038480348733957795
S27,-3.9251749977239103,-1.1381902733447442,0.3859553910910633,-0.7667303164819153,-1.908503073913477,1.7249744294049238,-2.2688924827858896,1.5887183750206273,-0.9361269532364023,-0.38896224513419553,-1.4135986922762622,-1.4739842700007366,-1.6824542458789704,-0.6515239251690191,-0.3675909330266035
S28,-0.8725178830082658,-2.3439120575990877,2.341126131526424,0.885178022386594,-2.73175721263247,-2.722332507074762,-3.788326231750123,-0.5979396862754437,-2.594539144259932,0.5369641036141816,-0.6518856291893323,2.8969748346793245,-0.20932689430508822,-0.5064839864191757,-1.6718383786408122
S29,-0.7169066257769614,1.1088473256776077,-1.273196198447951,-0.46349087036654246,1.7284788554276707,-0.06754508289384395,2.5710904070927145,2.0519879998268187,-3.777190418040479,2.7745006160093904,2.6365669022694016,-2.4539018046330097,0.17907454000605297,-0.23586403535785472,1.0453204160353282
S30,-2.4343555801649646,2.214446411678884,-1.0058995776641275,1.3955279138373662,-1.351600788592545,1.9670231227399102,-0.9249259532728837,-0.19970270831885467,2.5443759907433705,-2.382422213027689,0.9838572336639293,0.39124424008948827,2.1858688797078023,0.5492659318807978,-2.304572974628176
S31,0.5837108789068731,-0.6112477869592944,1.4912416540911664,0.15214452275847948,0.6968965261550748,1.7952521570081026,-0.7954883444141067,-1.7640917029775203,1.2834240419076486,2.6842346855777146,-0.13280177570104068,0.14730133974117787,-0.4996868753732358,3.4470868577421263,1.4389783509445542
S32,0.45646702624921714,2.316357476916753,-2.4543289977947005,-2.088678422623174,1.7770231302682622,0.025183014673659385,0.8868987604962645,-1.2652593814598105,0.3316683700365373,-1.234227068828865,-1.6240742614595385,-0.4367864491068962,1.1585799964321617,-1.1176702531564529,-1.7242249465927169
